01	2 - Introduzione	01-2-introduzione.tex
02	3 - Energia	02-3-energia.tex
03	4 - Proprietà delle sostanze pure	03-4-proprieta-delle-sostanze-pure.tex
04	5 - Analisi energetica dei sistemi chiusi	04-5-analisi-energetica-dei-sistemi-chiusi.tex
05	6 - Analisi dei volumi di controllo in base alla conservazione della massa e dell’energia	05-6-analisi-dei-volumi-di-controllo-in-base-alla-conservazione-della-massa-e-dellenergia.tex
06	8 - Entropia	06-8-entropia.tex
07	12 - Le modalità di trasmissione del calore	07-12-le-modalita-di-trasmissione-del-calore.tex
08	13 - Conduzione	08-13-conduzione.tex
09	15 - Convezione forzata esterna	09-15-convezione-forzata-esterna.tex
10	16 - Convezione forzata interna	10-16-convezione-forzata-interna.tex
11	17 - Convezione naturale	11-17-convezione-naturale.tex
12	18 - Irraggiamento	12-18-irraggiamento.tex
13	Termodinamica	13-termodinamica.tex
